# Sense-specific CEFR judgements on individual cards.
#
# The deck's A1-C2 labels came from bulk import, not from reading each card, and
# the bulk was wrong in both directions. This file is the record of what has been
# decided about every card -- including the ones left alone, because "reviewed and
# correct" and "never reviewed" are different states and only one of them is
# worth revisiting.
#
# It is authoritative. tool/apply_relevelling.py writes these levels into
# lib/vocabulary*.dart, and tool/check_relevelling.py fails the build if the
# source and this file disagree, so a later bulk edit cannot quietly undo a
# judgement recorded here.
#
# The `basis` column says how a row was decided and must not be blurred:
#
#   hand    a person read the card. These win over anything derived.
#   corpus  derived by tool/cefr_evidence.py from the level of the bundled
#           material that uses the word. It reproduces 22 of the 23 hand
#           judgements, which is why it is trusted enough to record; it is
#           still marked derived, because agreeing with a human is not the
#           same as being one.
#
# A row whose `to` equals its `from` is a deliberate keep, not a no-op.
#
# id<TAB>german<TAB>from<TAB>to<TAB>basis<TAB>why
x10093	welche	A1	A1	corpus	material agrees, first used in A1
x10094	viel	A1	A1	corpus	material agrees, first used in A1
x10095	wenig	A1	A1	corpus	material agrees, first used in A1
x10096	mehr	A1	A1	corpus	material agrees, first used in A1
x10097	alles	A1	A1	corpus	material agrees, first used in A1
x10098	nichts	A1	A1	corpus	material agrees, first used in A1
x10099	jemand	A1	A1	corpus	material agrees, first used in A2
x10100	niemand	A1	A1	corpus	material agrees, first used in A1
x10101	vereinbaren	A2	A2	corpus	material agrees, first used in A2
x10102	absagen	A2	A2	corpus	material agrees, first used in B1
x10103	verschieben	A2	A2	corpus	material agrees, first used in A2
x10104	reservieren	A2	A2	corpus	no bundled material uses this word
x10105	bestellen	A2	A1	corpus	used 2 times in A1 material
x10106	empfehlen	A2	A2	corpus	material agrees, first used in B2
x10107	erklären	A2	A2	corpus	material agrees, first used in A2
x10108	beschreiben	A2	A2	corpus	no bundled material uses this word
x10109	erzählen	A2	A2	corpus	material agrees, first used in A2
x10110	berichten	A2	A2	corpus	material agrees, first used in B1
x10111	meinen	A2	A1	corpus	used 4 times in A1 material
x10112	glauben	A2	A2	corpus	material agrees, first used in B1
x10113	hoffen	A2	A2	corpus	no bundled material uses this word
x10114	wünschen	A2	A1	corpus	used 3 times in A1 material
x10115	planen	A2	A2	corpus	no bundled material uses this word
x10116	entscheiden	A2	A2	corpus	material agrees, first used in B1
x10117	versuchen	A2	A2	corpus	material agrees, first used in B1
x10118	vergessen	A2	A1	corpus	used 4 times in A1 material
x10119	erinnern	A2	A2	corpus	no bundled material uses this word
x10120	besuchen	A2	A1	corpus	used 4 times in A1 material
x10121	treffen	A2	A1	corpus	used 17 times in A1 material
x10122	einladen	A2	A2	corpus	material agrees, first used in A2
x10123	feiern	A2	A2	corpus	no bundled material uses this word
x10124	helfen	A2	A1	corpus	used 10 times in A1 material
x10125	zeigen	A2	A1	corpus	used 2 times in A1 material
x10126	schicken	A2	A2	corpus	material agrees, first used in A2
x10127	bekommen	A2	A2	corpus	material agrees, first used in A2
x10128	bringen	A2	A1	corpus	used 2 times in A1 material
x10129	holen	A2	A1	corpus	used 2 times in A1 material
x10130	mitnehmen	A2	A1	corpus	used 4 times in A1 material
